Series;Time;Value
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T00:00:00+05:00;3.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T01:00:00+05:00;3.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T02:00:00+05:00;2.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T03:00:00+05:00;4.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T04:00:00+05:00;4.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T05:00:00+05:00;2.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T06:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T07:00:00+05:00;3.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T08:00:00+05:00;3.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T09:00:00+05:00;2.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T10:00:00+05:00;4.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T11:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T12:00:00+05:00;4.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T13:00:00+05:00;4.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T14:00:00+05:00;4.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T15:00:00+05:00;4.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T16:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T17:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T18:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T19:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T20:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T21:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T22:00:00+05:00;4.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-02T23:00:00+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T00:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T01:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T02:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T03:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T04:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T05:00:00+05:00;4.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T06:00:00+05:00;6.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T07:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T08:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T09:00:00+05:00;3.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T10:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T11:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T12:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T13:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T14:00:00+05:00;3.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T15:00:00+05:00;4.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T16:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T17:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T18:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T19:00:00+05:00;6.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T20:00:00+05:00;6.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T21:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T22:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-03T23:00:00+05:00;5.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T00:00:00+05:00;6.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T01:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T02:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T03:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T04:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T05:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T06:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T07:00:00+05:00;5.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T08:00:00+05:00;6.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T09:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T10:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T11:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T12:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T13:00:00+05:00;3.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T14:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T15:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T16:00:00+05:00;7.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T17:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T18:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T19:00:00+05:00;6.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T20:00:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T21:00:00+05:00;5.8333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T22:00:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-04T23:00:00+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T00:00:00+05:00;3.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T01:00:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T02:00:00+05:00;3.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T03:00:00+05:00;3.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T04:00:00+05:00;6.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T05:00:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T06:00:00+05:00;5.3333
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T07:00:00+05:00;4.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T08:00:00+05:00;5.5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T09:00:00+05:00;4.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T10:00:00+05:00;5.1667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T11:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T12:00:00+05:00;5.6667
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-05T13:00:00+05:00;4.8333
