Series;Time;Value
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T03:43:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T03:53:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:03:00+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:13:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:23:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:33:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:43:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T04:53:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:13:00+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:23:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:33:03+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:43:06+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T05:53:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:03:00+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:13:01+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:23:01+05:00;13
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:33:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:43:08+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T06:53:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:03:05+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:13:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:23:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:33:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:43:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T07:53:05+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:03:02+05:00;2
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:13:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:23:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:33:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:43:01+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T08:53:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:13:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:23:01+05:00;3
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:33:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:43:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T09:53:02+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:03:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:13:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:23:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:33:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:43:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T10:53:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:13:01+05:00;7
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:23:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:33:06+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:43:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T11:53:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:03:01+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:13:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:23:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:33:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:43:02+05:00;9
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T12:53:02+05:00;4
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-06T13:03:04+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:03:02+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:13:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:23:00+05:00;5
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:33:00+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:43:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T13:53:01+05:00;6
Общая модель данных V2 (date_op).Vivsd_asoup_v_oper_v2;2023-01-07T14:03:00+05:00;5
